title,content,sentiment
Great customer service from Jill!,"Date of experience: March 06, 2018",neutral
Great service with quick turn around!,They worked with us on several revisions of our product and we're quick with the proofs and their responses. I would use them again if there's anything I need.,neutral
excellent customer service!,"Date of experience: March 05, 2018",neutral
Very good service and responsiveness,"Date of experience: March 02, 2018",neutral
Great and easy to work with!,"Date of experience: March 02, 2018",neutral
Excellent help and service.,"Date of experience: March 01, 2018",neutral
Great service and product.,"Date of experience: February 28, 2018",neutral
The ordering process was easy and quick.,"Date of experience: February 28, 2018",neutral
Great Service.,"Date of experience: February 26, 2018",neutral
It was fast with very hi quality!,"Date of experience: February 18, 2018",neutral
Beautiful product and shipped timely!,"Date of experience: February 15, 2018",neutral
Brianna was efficient and helpful,"Date of experience: February 13, 2018",neutral
seamless experience!,"Date of experience: February 12, 2018",neutral
Excellent job,"Date of experience: February 09, 2018",neutral
Shipping was so fast and our order was …,Shipping was so fast and our order was exactly what we wanted.,neutral
Electronic Samples & Shipping Costs,"Had some issues with agreeing to send samples of electronics to verify quality; but samples did arrive. Also issues over shipping charges, which are much more than what i see elsewhere.",negative
Good enough!,Had to email a few times before my salesperson understood what I wanted but they hooked me up with a price cut and got it shipped to me really quickly.,negative
Great easy service from the team.,"Date of experience: February 01, 2018",neutral
great quality and fantastic service!,"Date of experience: January 31, 2018",neutral
Great Service,"Date of experience: January 31, 2018",neutral
great product~,"Date of experience: January 30, 2018",neutral
Fast service and delivery,"Date of experience: January 30, 2018",neutral
Everything was quick and easy!,"Date of experience: January 26, 2018",neutral
Very fast service,"Date of experience: January 25, 2018",neutral
Consistently delivers every time,"Date of experience: January 24, 2018",neutral
Great service and excellent product!,"Date of experience: January 23, 2018",neutral
They were fast,"Date of experience: January 23, 2018",neutral
Matt Kusanovich was very prompt in …,"Matt Kusanovich was very prompt in responding to my request, and we received our order in record time.",neutral
Fast service,Our account manager quickly responded to our requests for quotes and promptly processed our order.,neutral
Absurdly fast response time and my …,Absurdly fast response time and my order arrived in AK extremely quickly.,neutral
Excellent from beginning to end.,"Date of experience: January 16, 2018",neutral
Expedient service,"Expedient service, quality product, and exceptional customer service!",neutral
Thanks for the great service as always.,"Date of experience: January 10, 2018",neutral
Sent request was quickly followed up,Sent request was quickly followed up. Submitted artwork was incorporated and virtual prototype returned quickly. Order handling was completed quickly. I didn't realize I could have different art work on each side. Materials arrived as advertised.,neutral
Great customer service!,"Date of experience: January 06, 2018",neutral
Nice service and great quality:),"Date of experience: January 05, 2018",neutral
LOVED the service and product!,"Date of experience: January 05, 2018",neutral
Matt was excellent!,"Date of experience: January 02, 2018",neutral
Quick service and great products!,"Date of experience: December 28, 2017",neutral
Prompt and professional service!,"Date of experience: December 27, 2017",neutral
tanks so much for everyting ..pura vida,"Date of experience: December 23, 2017",neutral
Highly recommend,"Date of experience: December 22, 2017",neutral
So far I have had nothing but good …,So far I have had nothing but good experiences with Flashbay.,negative
Riley was a huge help!,"Date of experience: December 19, 2017",neutral
Excellent Service.,"Date of experience: December 15, 2017",neutral
Quick delivery and quality assistance,"Date of experience: December 13, 2017",neutral
He answered all my questions in a short …,He answered all my questions in a short time and placed my order promptly.,neutral
Excellent service!,"Date of experience: December 11, 2017",neutral
"Great,faster and awesome","Date of experience: December 09, 2017",neutral
